SID:010,5,EO28,RW28, , , , ,    , ,302,CA, , , , , ,      ,    ,    ,0160,    ,+,13000,     ,     , ,   ,    ,   ,ZLYS,ZL,P,A, , , , ;
SID:020,5,EO28,RW28,YS301,ZL,P,C,E   , ,302,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EO28,RW28,YS302,ZL,P,C,E   , ,302,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,EO28,RW28,YS303,ZL,P,C,E   ,R,302,RF, , , , , ,000870,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,YSC01,ZL,P,C, , , , ;
SID:050,5,EO28,RW28,YS304,ZL,P,C,E   ,R,302,RF, , , , , ,000870,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,YSC01,ZL,P,C, , , , ;
SID:060,5,EO28,RW28,YS305,ZL,P,C,E   ,R,302,RF, , , , , ,000870,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,YSC01,ZL,P,C, , , , ;
SID:070,5,EO28,RW28,YS306,ZL,P,C,E   ,R,302,RF, , , , , ,000870,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,YSC01,ZL,P,C, , , , ;
SID:080,5,EO28,RW28,YS300,ZL,P,C,EE  , ,302,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;

